"age","sex","pop","year"
0,"male",23632,2010
1,"male",101841,2010
5,"male",136027,2010
10,"male",136835,2010
15,"male",135204,2010
20,"male",105606,2010
25,"male",88319,2010
30,"male",84440,2010
35,"male",82850,2010
40,"male",71817,2010
45,"male",61913,2010
50,"male",53592,2010
55,"male",42563,2010
60,"male",34958,2010
65,"male",27526,2010
70,"male",24200,2010
75,"male",16937,2010
80,"male",11118,2010
85,"male",9223,2010
0,"female",23019,2010
1,"female",98565,2010
5,"female",132887,2010
10,"female",133319,2010
15,"female",134469,2010
20,"female",114114,2010
25,"female",100786,2010
30,"female",95810,2010
35,"female",92792,2010
40,"female",80555,2010
45,"female",69308,2010
50,"female",58927,2010
55,"female",44913,2010
60,"female",38002,2010
65,"female",29145,2010
70,"female",26013,2010
75,"female",17758,2010
80,"female",12207,2010
85,"female",10889,2010
0,"male",21212,2020
1,"male",95119,2020
5,"male",122972,2020
10,"male",128254,2020
15,"male",127984,2020
20,"male",113430,2020
25,"male",106032,2020
30,"male",96754,2020
35,"male",90728,2020
40,"male",85394,2020
45,"male",80668,2020
50,"male",72445,2020
55,"male",59294,2020
60,"male",51031,2020
65,"male",39217,2020
70,"male",30156,2020
75,"male",22290,2020
80,"male",14922,2020
85,"male",13585,2020
0,"female",21133,2020
1,"female",93467,2020
5,"female",119755,2020
10,"female",124526,2020
15,"female",125813,2020
20,"female",118699,2020
25,"female",114932,2020
30,"female",107534,2020
35,"female",101241,2020
40,"female",94780,2020
45,"female",88785,2020
50,"female",81291,2020
55,"female",66472,2020
60,"female",56604,2020
65,"female",43019,2020
70,"female",33001,2020
75,"female",23695,2020
80,"female",17330,2020
85,"female",16749,2020
